,Date,Year,Month,Week_ofday,League_ID,League,team1,team2,spi_1,spi_2,prob_1,prob_2,prob_0,importance1,importance2,DEF_spi_x,OFF_spi_x,DETAIL_spi_x,OVRL_spi_x,Avg_Age_x,Total_marketcap_x,Value_per_year_x,DEF_spi_y,OFF_spi_y,DETAIL_spi_y,OVRL_spi_y,Avg_Age_y,Total_marketcap_y,Value_per_year_y,point_team1,point_team2,rolling5_team1,rolling5_team2,scor_diff
0,2022-10-31,2022,10,0,1854,Serie A,Verona,Roma,58.27,73.95,0.2429,0.4968,0.2604,31.5,60.1,0.23366549285817073,0.18129337565008058,0.3704493492416516,0.21806732433365747,26.1,90000000.0,0.2327044025157233,0.5345672234241231,0.3940329199409803,0.6182813344747118,0.3673389389106748,26.0,365000000.0,0.12927756653992395,0.0,4.0,3.0,13.5,-2
1,2022-10-31,2022,10,0,1854,Serie A,Monza,Bologna,52.43,54.39,0.3983,0.3232,0.2785,35.2,31.3,0.4410598212830894,0.15682543221472955,0.23521384231068707,0.3115170274099863,27.1,114000000.0,0.7222222222222222,0.3482229857483368,0.20465872852286202,0.3201893415275443,0.339006857522426,25.5,125000000.0,0.0386904761904762,0.0,4.0,6.0,1.5,-1
2,2022-10-31,2022,10,0,1869,LaLiga,Elche,Getafe,52.69,62.53,0.3575,0.337,0.3055,44.5,38.7,0.2668883483250256,0.12086425992226074,0.23724856433970304,0.15236160374762409,28.7,59000000.0,0.65,0.24079430949113334,0.08989609383186653,0.11209622153232715,0.20802711369574803,27.8,137000000.0,0.6180555555555555,0.0,4.0,2.0,7.0,-1
3,2022-10-30,2022,10,6,1869,LaLiga,Osasuna,Real Valladolid,67.77,58.91,0.5122,0.2096,0.2782,21.1,30.3,0.4578171203390091,0.2664604519139169,0.3545992482522487,0.27242357207187917,28.1,127000000.0,1.4305555555555556,0.38932973402072624,0.3071180369870468,0.23571740668267308,0.28079463175364605,28.3,59000000.0,0.6031746031746031,3.0,0.0,9.0,5.5,2
4,2022-10-30,2022,10,6,1843,Ligue 1,Auxerre,AC Ajaccio,46.2,52.39,0.3827,0.3305,0.2868,43.3,50.2,0.619696344253071,0.1999171257027749,0.2258991483975515,0.34183260755680805,25.55,50000000.0,0.32,0.5797937026564707,0.14557956657087823,0.25574056437713283,0.26803377945857454,25.55,50000000.0,0.32,3.0,0.0,5.0,9.5,1
5,2022-10-30,2022,10,6,1843,Ligue 1,Lorient,Nice,57.1,61.94,0.4038,0.3162,0.28,23.9,18.9,0.5108997703628354,0.40243816419695577,0.3467264539872975,0.49873518825129975,24.6,86000000.0,0.48571428571428577,0.558430117145999,0.2979713106692555,0.39085560833605404,0.3329529585391269,25.5,212000000.0,0.2144702842377261,0.0,4.0,13.0,9.5,-1
6,2022-10-30,2022,10,6,1854,Serie A,Empoli,Atalanta,48.0,70.95,0.1962,0.5713,0.2325,38.5,61.4,0.2933465201246858,0.2149168345830918,0.2504873727656696,0.24020839588706186,24.9,93000000.0,0.9583333333333334,0.5323458783012462,0.29744383919124157,0.34521924853250424,0.3749802005356529,26.7,327000000.0,0.0811153358681876,0.0,4.0,5.0,17.5,-2
7,2022-10-30,2022,10,6,1843,Ligue 1,Monaco,Angers,68.55,51.24,0.6378,0.1586,0.2037,42.8,45.9,0.5188319067348868,0.5351553889045203,0.43196119286975987,0.5161931170336572,24.2,345000000.0,0.052572706935123024,0.38440899692527886,0.3168963501230245,0.2979260472825327,0.3041451622805403,25.1,64000000.0,0.6363636363636364,3.0,0.0,7.0,5.5,2
8,2022-10-30,2022,10,6,1869,LaLiga,Real Sociedad,Real Betis,74.82,70.75,0.5103,0.2053,0.2844,74.9,47.9,0.38214521544099234,0.46954456286225865,0.4550714581210505,0.3432853440901362,25.4,385000000.0,1.046594982078853,0.40408346846780346,0.20894537745253708,0.27526622835054976,0.31699430202783685,29.2,270000000.0,0.4166666666666667,0.0,4.0,10.0,7.0,-2
9,2022-10-30,2022,10,6,1843,Ligue 1,Brest,Reims,51.55,56.9,0.4143,0.3183,0.2674,50.7,33.4,0.6292330368088069,0.2099116591987636,0.21710857058199545,0.31769573667755724,25.55,50000000.0,0.32,0.5606403688365892,0.37106465107298126,0.32729296606007247,0.30026791392030544,24.7,87000000.0,0.32575757575757575,1.0,1.5,2.0,8.5,0
